Account_Email,Account_Type,Project,Current_Role,Recommendation,Description,Total_Permissions,Used_Permissions,Unused_Permissions,Waste_Percentage,Risk_Score,Over_Privilege_Score,Priority,Exercised_Permissions
serviceAccount:openemr-787@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/compute.admin,REMOVE_ROLE,This role has not been used during the observation window.,961,0,961,100.0,100,100,P4,None
serviceAccount:xfs-secret-manager-sa@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.viewer,REMOVE_ROLE,This role has not been used during the observation window.,11,0,11,100.0,100,100,P4,None
serviceAccount:dan-kott-workstation@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/workstations.admin,REMOVE_ROLE,This role has not been used during the observation window.,40,0,40,100.0,100,100,P4,None
serviceAccount:xfs-production-secrets-manager@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.viewer,REMOVE_ROLE,This role has not been used during the observation window.,11,0,11,100.0,100,100,P4,None
serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.workloadIdentityUser,REMOVE_ROLE,This role has not been used during the observation window.,4,0,4,100.0,100,100,P4,None
serviceAccount:gsa-documo-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:documo-dev-ko@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudfunctions.admin,REMOVE_ROLE,This role has not been used during the observation window.,213,0,213,100.0,100,100,P4,None
serviceAccount:documo-qa-sftp@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.admin,REMOVE_ROLE,This role has not been used during the observation window.,78,0,78,100.0,100,100,P4,None
serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/logging.logWriter,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountTokenCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:tenable-io@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/compute.viewer,REMOVE_ROLE,This role has not been used during the observation window.,354,0,354,100.0,100,100,P4,None
serviceAccount:datadog-118@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudasset.viewer,REMOVE_ROLE,This role has not been used during the observation window.,567,0,567,100.0,100,100,P4,None
serviceAccount:cloudsql-read-only@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudsql.client,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:documo-devops-gsm@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.workloadIdentityUser,REMOVE_ROLE,This role has not been used during the observation window.,4,0,4,100.0,100,100,P4,None
serviceAccount:dan-kott-workstation@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.workloadIdentityUser,REMOVE_ROLE,This role has not been used during the observation window.,4,0,4,100.0,100,100,P4,None
serviceAccount:gcs-object-admin@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
user:gazal.shukla@documo.com,user,foiply-app,roles/cloudsql.instanceUser,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:openemr-787@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountUser,REMOVE_ROLE,This role has not been used during the observation window.,5,0,5,100.0,100,100,P4,None
serviceAccount:tenable-io@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/logging.viewer,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudfunctions.invoker,REMOVE_ROLE,This role has not been used during the observation window.,1,0,1,100.0,100,100,P4,None
serviceAccount:gke-limited@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudtrace.agent,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:gsa-documo-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/logging.logWriter,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:gke-limited@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudfunctions.invoker,REMOVE_ROLE,This role has not been used during the observation window.,1,0,1,100.0,100,100,P4,None
serviceAccount:sftp-sa@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountTokenCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:sandratest@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/container.developer,REMOVE_ROLE,This role has not been used during the observation window.,386,0,386,100.0,100,100,P4,None
serviceAccount:dan-kott-workstation@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/container.admin,REMOVE_ROLE,This role has not been used during the observation window.,429,0,429,100.0,100,100,P4,None
serviceAccount:gsa-xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudsql.instanceUser,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:documo-dev-ko@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.admin,REMOVE_ROLE,This role has not been used during the observation window.,27,0,27,100.0,100,100,P4,None
serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/run.invoker,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountTokenCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:gsa-fusion-worker-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/serviceusage.serviceUsageConsumer,REMOVE_ROLE,This role has not been used during the observation window.,5,0,5,100.0,100,100,P4,None
serviceAccount:test-nick@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectUser,REMOVE_ROLE,This role has not been used during the observation window.,24,0,24,100.0,100,100,P4,None
serviceAccount:ubuntu-workstation@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/compute.serviceAgent,REMOVE_ROLE,This role has not been used during the observation window.,71,0,71,100.0,100,100,P4,None
serviceAccount:gsa-portal@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:datadog-118@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/monitoring.viewer,REMOVE_ROLE,This role has not been used during the observation window.,33,0,33,100.0,100,100,P4,None
serviceAccount:data-discovery-service-account@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/documentai.editor,REMOVE_ROLE,This role has not been used during the observation window.,48,0,48,100.0,100,100,P4,None
serviceAccount:gsa-fusion@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/container.admin,REMOVE_ROLE,This role has not been used during the observation window.,429,0,429,100.0,100,100,P4,None
serviceAccount:gsa-documo-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/monitoring.metricWriter,REMOVE_ROLE,This role has not been used during the observation window.,6,0,6,100.0,100,100,P4,None
serviceAccount:openemr-787@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/config.agent,REMOVE_ROLE,This role has not been used during the observation window.,23,0,23,100.0,100,100,P4,None
serviceAccount:gsa-faxbridge-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/logging.viewer,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.workloadIdentityUser,REMOVE_ROLE,This role has not been used during the observation window.,4,0,4,100.0,100,100,P4,None
serviceAccount:cert-manager@documo-development.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/dns.admin,REMOVE_ROLE,This role has not been used during the observation window.,45,0,45,100.0,100,100,P4,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.admin,REMOVE_ROLE,This role has not been used during the observation window.,27,0,27,100.0,0,0,P4,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/workstations.serviceAgent,REMOVE_ROLE,This role has not been used during the observation window.,71,0,71,100.0,0,0,P4,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/editor,REMOVE_ROLE,This role has not been used during the observation window.,10251,0,10251,100.0,0,0,P2,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountTokenCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,0,0,P4,None
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/compute.admin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,961,1,960,99.9,98,100,P4,resourcemanager.projects.get
user:steve.chong@documo.com,user,foiply-app,roles/aiplatform.user,REPLACE_ROLE_CUSTOMIZABLE,Replace the current role with a smaller role to cover the permissions needed.,374,1,373,99.7,99,100,P4,resourcemanager.projects.get
serviceAccount:openemr@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/compute.admin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,961,12,949,98.8,92,98,P4,compute.disks.create; compute.disks.get; compute.instances.create; compute.instances.get; compute.instances.setLabels
serviceAccount:documo-gcs-backup-sync@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.admin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,78,1,77,98.7,88,97,P4,storage.objects.list
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.writer,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,41,1,40,97.6,88,98,P4,resourcemanager.projects.get
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/gkehub.admin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,58,2,56,96.6,64,91,P4,gkehub.memberships.list; resourcemanager.projects.get
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,28,1,27,96.4,83,96,P4,resourcemanager.projects.get
