Role_Name,Affected_Users_Count,Affected_Users,Total_Permissions,Max_Used_Permissions,Average_Waste_Percentage,Recommendation,Top_Used_Permissions,Custom_Role_Suggestion
roles/secretmanager.secretVersionManager,2,serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com; serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,8,0,100,Create Custom Role,None,custom_secretmanager.secretVersionManager
roles/editor,2,serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com; serviceAccount:service-105005824641@containerregistry.iam.gserviceaccount.com,10251,0,100,Create Custom Role,None,custom_editor
roles/composer.environmentAndStorageObjectUser,2,serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com; serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,24,0,100,Create Custom Role,None,custom_composer.environmentAndStorageObjectUser
roles/iam.serviceAccountTokenCreator,5,serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com; serviceAccount:test-nick@foiply-app.iam.gserviceaccount.com; serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com...,9,0,100,Create Custom Role,None,custom_iam.serviceAccountTokenCreator
roles/eventarc.eventReceiver,1,serviceAccount:105005824641-compute@developer.gserviceaccount.com,2,0,100,Create Custom Role,None,custom_eventarc.eventReceiver
roles/config.agent,2,serviceAccount:ubuntu-workstation@foiply-app.iam.gserviceaccount.com; serviceAccount:openemr-787@foiply-app.iam.gserviceaccount.com,23,0,100,Create Custom Role,None,custom_config.agent
roles/monitoring.viewer,2,serviceAccount:grafana-gcp-service-account@foiply-app.iam.gserviceaccount.com; serviceAccount:datadog-118@foiply-app.iam.gserviceaccount.com,33,0,100,Create Custom Role,None,custom_monitoring.viewer
roles/cloudsupport.techSupportEditor,1,user:it-sys@documo.com,10,0,100,Create Custom Role,None,custom_cloudsupport.techSupportEditor
roles/bigquery.dataViewer,1,user:ben.turner@documo.com,21,0,100,Create Custom Role,None,custom_bigquery.dataViewer
roles/remotebuildexecution.artifactViewer,1,serviceAccount:105005824641-compute@developer.gserviceaccount.com,3,0,100,Create Custom Role,None,custom_remotebuildexecution.artifactViewer
roles/logging.viewer,3,serviceAccount:grafana-gcp-service-account@foiply-app.iam.gserviceaccount.com; serviceAccount:tenable-io@foiply-app.iam.gserviceaccount.com; serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com,28,0,100,Create Custom Role,None,custom_logging.viewer
roles/cloudfunctions.invoker,3,serviceAccount:collector@foiply-app.iam.gserviceaccount.com; serviceAccount:gke-limited@foiply-app.iam.gserviceaccount.com; serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com,1,0,100,Create Custom Role,None,custom_cloudfunctions.invoker
roles/monitoring.metricsScopesViewer,1,serviceAccount:collector@foiply-app.iam.gserviceaccount.com,2,0,100,Create Custom Role,None,custom_monitoring.metricsScopesViewer
roles/firebase.managementServiceAgent,1,serviceAccount:firebase-service-account@firebase-sa-management.iam.gserviceaccount.com,82,0,100,Create Custom Role,None,custom_firebase.managementServiceAgent
roles/storage.objectCreator,3,serviceAccount:documo-dev-ko@foiply-app.iam.gserviceaccount.com; serviceAccount:marko-report-bot@foiply-app.iam.gserviceaccount.com; serviceAccount:sftp-sa@foiply-app.iam.gserviceaccount.com,9,0,100,Create Custom Role,None,custom_storage.objectCreator
roles/container.defaultNodeServiceAccount,1,serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,6,0,100,Create Custom Role,None,custom_container.defaultNodeServiceAccount
roles/cloudsql.admin,1,user:it-sys@documo.com,142,0,100,Create Custom Role,None,custom_cloudsql.admin
roles/iam.workloadIdentityUser,5,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com; serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com; serviceAccount:documo-devops-gsm@foiply-app.iam.gserviceaccount.com...,4,0,100,Create Custom Role,None,custom_iam.workloadIdentityUser
projects/foiply-app/roles/redpandaConnectorsCnah9bt9cnna1iqe201gJ1lp,1,serviceAccount:rp-csm-cnah9bt9cnna1iqe201g@foiply-app.iam.gserviceaccount.com,2,0,100,Create Custom Role,None,custom_projects_foiply-app_redpandaConnectorsCnah9bt9cnna1iqe201gJ1lp
roles/workstations.admin,1,serviceAccount:dan-kott-workstation@foiply-app.iam.gserviceaccount.com,40,0,100,Create Custom Role,None,custom_workstations.admin
roles/cloudfunctions.admin,1,serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com,213,0,100,Create Custom Role,None,custom_cloudfunctions.admin
roles/cloudasset.viewer,1,serviceAccount:datadog-118@foiply-app.iam.gserviceaccount.com,567,0,100,Create Custom Role,None,custom_cloudasset.viewer
roles/cloudtrace.agent,1,serviceAccount:gke-limited@foiply-app.iam.gserviceaccount.com,2,0,100,Create Custom Role,None,custom_cloudtrace.agent
roles/serviceusage.serviceUsageConsumer,1,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,5,0,100,Create Custom Role,None,custom_serviceusage.serviceUsageConsumer
roles/compute.serviceAgent,1,serviceAccount:ubuntu-workstation@foiply-app.iam.gserviceaccount.com,71,0,100,Create Custom Role,None,custom_compute.serviceAgent
roles/documentai.editor,1,serviceAccount:data-discovery-service-account@foiply-app.iam.gserviceaccount.com,48,0,100,Create Custom Role,None,custom_documentai.editor
roles/dns.admin,1,serviceAccount:cert-manager@documo-development.iam.gserviceaccount.com,45,0,100,Create Custom Role,None,custom_dns.admin
roles/compute.admin,4,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com; serviceAccount:openemr@foiply-app.iam.gserviceaccount.com; serviceAccount:openemr-787@foiply-app.iam.gserviceaccount.com...,961,12,99.7,Create Custom Role,compute.disks.create(1); compute.disks.get(1); compute.instances.create(1); compute.instances.get(1); compute.instances.setLabels(1),custom_compute.admin
roles/aiplatform.user,1,user:steve.chong@documo.com,374,1,99.7,Create Custom Role,resourcemanager.projects.get(1),custom_aiplatform.user
roles/storage.objectAdmin,8,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com; serviceAccount:gcs-object-admin@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-fusion@foiply-app.iam.gserviceaccount.com...,28,1,99.6,Create Custom Role,resourcemanager.projects.get(1),custom_storage.objectAdmin
roles/storage.admin,3,serviceAccount:documo-qa-sftp@foiply-app.iam.gserviceaccount.com; serviceAccount:documo-gcs-backup-sync@foiply-app.iam.gserviceaccount.com; user:it-sys@documo.com,78,1,99.6,Create Custom Role,storage.objects.list(1),custom_storage.admin
roles/storage.objectUser,3,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com; serviceAccount:test-nick@foiply-app.iam.gserviceaccount.com; serviceAccount:data-discovery-service-account@foiply-app.iam.gserviceaccount.com,24,1,98.6,Create Custom Role,resourcemanager.projects.get(1),custom_storage.objectUser
roles/artifactregistry.writer,1,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,41,1,97.6,Create Custom Role,resourcemanager.projects.get(1),custom_artifactregistry.writer
roles/cloudbuild.builds.editor,2,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com; serviceAccount:gitlab@foiply-app.iam.gserviceaccount.com,11,1,95.5,Create Custom Role,resourcemanager.projects.get(1),custom_cloudbuild.builds.editor
roles/notebooks.runner,1,user:steve.chong@documo.com,390,30,92.3,Create Custom Role,compute.acceleratorTypes.list(1); compute.addresses.list(1); compute.backendServices.list(1); compute.diskTypes.list(1); compute.disks.list(1),custom_notebooks.runner
roles/secretmanager.secretAccessor,12,serviceAccount:gsa-fusion-worker-staging@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-fusion-operarius-staging@foiply-app.iam.gserviceaccount.com; serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com...,3,1,91.7,Create Custom Role,secretmanager.versions.access(3),custom_secretmanager.secretAccessor
roles/gkehub.admin,3,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com; user:dan.kott@documo.com; user:sandra.gendy@documo.com,58,13,83.9,Create Custom Role,gkehub.memberships.list(3); resourcemanager.projects.get(3); gkehub.features.create(2); gkehub.features.get(2); gkehub.features.list(2),custom_gkehub.admin
roles/advisorynotifications.admin,1,user:dan.kott@documo.com,6,1,83.3,Create Custom Role,resourcemanager.projects.get(1),custom_advisorynotifications.admin
roles/cloudkms.cryptoKeyEncrypterDecrypter,1,group:devops@documo.com,5,1,80,Create Custom Role,resourcemanager.projects.get(1),custom_cloudkms.cryptoKeyEncrypterDecrypter
roles/iam.roleAdmin,2,user:sandra.gendy@documo.com; user:it-sys@documo.com,8,4,75,Create Custom Role,iam.roles.get(1); iam.roles.list(1); resourcemanager.projects.get(1); resourcemanager.projects.getIamPolicy(1),custom_iam.roleAdmin
roles/gkehub.gatewayAdmin,2,serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com; user:sandra.gendy@documo.com,9,7,27.8,Review Usage,gkehub.gateway.delete(2); gkehub.gateway.get(2); gkehub.gateway.patch(2); gkehub.gateway.post(2); gkehub.gateway.put(2),N/A
